id;level;created_at;modified_at
1;INFO;2021-03-29T10:40:14;2021-03-28T13:49:32
2;WARNING;2021-03-29T02:13:41;2021-03-29T03:25:12
3;CRITICAL;2021-03-28T20:23:34;2021-03-28T19:38:45
4;WARNING;2021-03-28T15:33:52;2021-03-29T08:57:40
5;CRITICAL;2021-03-29T06:20:26;2021-03-29T05:58:05
6;CRITICAL;2021-03-28T16:54:10;2021-03-29T11:41:56
7;INFO;2021-03-29T06:53:13;2021-03-29T05:22:56
8;WARNING;2021-03-29T01:28:17;2021-03-29T12:36:12
9;CRITICAL;2021-03-29T05:42:20;2021-03-28T20:12:58
10;INFO;2021-03-29T07:35:27;2021-03-28T20:10:57
